Parent ASIN,Title,Brand,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10
B0D1QWHJCP,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes in Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count) 36 Count (Pack of 1)","Mighty Patch",B07B4KQVK6,B09S8KH1WD,B074PVTPBW,,,,,,,
B0D3J2WJDQ,"Mighty Patch Micropoint™ for Blemishes from Hero Cosmetics - Hydrocolloid Acne Spot Treatment Patch for Early Stage Zits and Hidden Pimples, 395 Micropoints (8 Patches) 8 Count (Pack of 1)","Mighty Patch",B0BPDBYRTZ,B0BWL2J93X,,,,,,,,
B0D1QTL1N8,"Mighty Patches for nose pores from Hero Cosmetics - XL Hydrocolloid Pimples, Zits and Oil - Dermatologist-Approved Overnight pore Strips to Absorb Acne nose Gunk (10 Count) 10 Count (Pack of 1)","Mighty Patch",B09NNF2DXX,,,,,,,,,
B0DK87VP1N,"Hero Cosmetics Pore Release Blackhead Clearing Solution - Exfoliating Toner Featuring BHA, PHA, AHA and 2% Salicylic Acid (100 ml) 3.38 Fl Oz (Pack of 1)","HERO COSMETICS",B0DK7L64MP,B0BP46RG27,,,,,,,,
B0D1QXZ647,"Mighty Patch Surface from Hero Cosmetics - Hydrocolloid Spot Patch for Body, Cheek, Forehead, and Chin, Vegan-friendly (10 Count) 10 Count (Pack of 1)","Mighty Patch",B07KJXFJHF,,,,,,,,,
B0D1QXZTWW,"Hero Cosmetics Mighty Patch Micropoint™ for Dark Spots - Post-Blemish Dark Spot Patch with 395 Micropoints, Dermatologist Tested and Non-irritating (8 Count) 8 Count (Pack of 1)","Mighty Patch",B0BS49YW8Z,,,,,,,,,
B0D1QTQR6Y,"Mighty Patch Face from Hero Cosmetics - XL Hydrocolloid Mask for Acne, 5 Large Pimple Patches for Zit Breakouts on Nose, Chin, Forehead & Cheeks - Vegan-Friendly, Not Tested on Animals (1 Count) 5 Count (Pack of 1)","Mighty Patch",B0B16VD9RQ,,,,,,,,,
B0D1QYDQBL,"Clear Collective Clarifying Prebiotic Moisturizer from Hero Cosmetics - Hydrating Daily Face Moisturizer to Purify, Smooth and Soften Skin (2.36 fl oz) 2.36 Fl Oz (Pack of 1)","Mighty Patch",B08ZD7Z497,,,,,,,,,
B0D5MQQ9D5,"Hero Cosmetics Clear Collective Exfoliating Jelly Cleanser - Gentle Daily Foam Facial Cleanser, Removes Oil and Dead Skin, Fragrance and Paraben Free (5.07 fl oz) Unscented 5.07 Fl Oz (Pack of 1)","Mighty Patch",B08ZCR6WZY,,,,,,,,,
B0D5MQWYNV,"Hero Balancing Capsule Skin Toner for Face | All Skin Types | Pore Refining and Hydrating Facial Astringent Toner | 4.39 Fl Oz Unscented 4.39 Fl Oz (Pack of 1)","Mighty Patch",B08ZC9TDK1,,,,,,,,,
B0D5MRHTTH,"Hero Cosmetics Rescue Balm Post-Blemish Recovery Cream - Intensive Nourishing and Calming for Dry, Red-Looking Skin After a Blemish - Dermatologist Tested (50 ml, 1.69 fl. oz) Unscented 50 ml","Mighty Patch",B0B4ZRKCH9,,,,,,,,,
B0D1QW3MZY,"Hero Cosmetics Mighty Patch™ Chin Patch - XL Contoured Hydrocolloid Chin Patch for Blemishes and Pimples - Non-Irritating (10 Count) 1 Count (Pack of 10)","Mighty Patch",B0BMM44HBF,,,,,,,,,
