ASIN,Parent ASIN,Title,Relationship
B09DQ8Z1DS,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Memphis Tigers - Royal, 18oz) 18oz Memphis Tigers - Royal",CHILD
B09DQ85ZSC,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Missouri Tigers - Black, 18oz) 18oz Missouri Tigers - Black",CHILD
B09DQ86JHD,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Fordham Rams - Maroon, 18oz) 18oz Fordham Rams - Maroon",CHILD
B09DQ8VZ19,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (NC State Wolfpack - Red, 18oz) 18oz NC State Wolfpack - Red",CHILD
B09DQ8QL4C,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Stanford Cardinal - Cardinal, 18oz) 18oz Stanford Cardinal - Cardinal",CHILD
B09DQ7PDK8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Tulane Green Wave - Green, 18oz) 18oz Tulane Green Wave - Green",CHILD
B09DQ8ZSHM,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Mississippi State Bulldogs - Maroon, 18oz) 18oz Mississippi State Bulldogs - Maroon",CHILD
B09DQBGZB5,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Arizona State Sun Devils - Maroon, 18oz) 18oz Arizona State Sun Devils - Maroon",CHILD
B0C6B72TS8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Bethune-Cookman University - Maroon, 18oz) 18oz Bethune-Cookman University - Maroon",CHILD
B09DQ9GT6W,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Alabama Crimson Tide - Crimson, 18oz) 18oz Alabama Crimson Tide - Crimson",CHILD
