Variant ASIN,Parent ASIN,Color,Ring Size
B0CKLDXCTW,B0CKLG57H7,B. 10K White Gold,5.25
B0CKLCV47X,B0CKLG57H7,A. 10K Yellow Gold,4.75
B0CKLFRSNQ,B0CKLG57H7,B. 14K White Gold,4.75
B0CKLC8M1T,B0CKLG57H7,B. 10K White Gold,15.5
B0CKLC8M1Z,B0CKLG57H7,C. 10K Rose Gold,7
B0CKLCZJGJ,B0CKLG57H7,A. 10K Yellow Gold,11
B0CKLDW259,B0CKLG57H7,C. 10K Rose Gold,5.25
B0CKLBVWJ1,B0CKLG57H7,C. 10K Rose Gold,5.75
B0CKLCVJCX,B0CKLG57H7,C. 14K Rose Gold,4
B0CKLCNHXB,B0CKLG57H7,A. 10K Yellow Gold,6.5
B0CKLBKG92,B0CKLG57H7,A. 10K Yellow Gold,7.5
B0CKLCL4FC,B0CKLG57H7,C. 10K Rose Gold,8.5
B0CKLDF153,B0CKLG57H7,B. 10K White Gold,15.75
B0CKLCPPPM,B0CKLG57H7,A. 14K Yellow Gold,6.75
B0CKLC5SH4,B0CKLG57H7,A. 10K Yellow Gold,5.75
B0CKLF5LGB,B0CKLG57H7,B. 14K White Gold,9.25
B0CKLDBS3S,B0CKLG57H7,B. 10K White Gold,6
B0CKLC1224,B0CKLG57H7,C. 10K Rose Gold,8.75
B0CKLF6PLT,B0CKLG57H7,A. 14K Yellow Gold,9.25
B0CKLFPFL5,B0CKLG57H7,A. 14K Yellow Gold,4
B0CKLC121D,B0CKLG57H7,A. 14K Yellow Gold,11
B0CKLCL4V5,B0CKLG57H7,A. 14K Yellow Gold,12.5
B0CKLCZJG8,B0CKLG57H7,B. 14K White Gold,9
B0CKLGB6WQ,B0CKLG57H7,C. 14K Rose Gold,7.25
B0CKLDGYCW,B0CKLG57H7,C. 14K Rose Gold,10.5
B0CKLCQVLB,B0CKLG57H7,B. 10K White Gold,9.75
B0CKLCPBH8,B0CKLG57H7,C. 14K Rose Gold,5.25
B0CKLCW6KG,B0CKLG57H7,B. 10K White Gold,12
B0CKL7MYZ3,B0CKLG57H7,B. 14K White Gold,11.25
B0CKLCZGTV,B0CKLG57H7,C. 14K Rose Gold,5.75
B0CKLG7ZNQ,B0CKLG57H7,C. 10K Rose Gold,12.75
B0CKLDGLK1,B0CKLG57H7,B. 14K White Gold,6
B0CKLD9S1H,B0CKLG57H7,A. 10K Yellow Gold,4.5
B0CKLD9S1G,B0CKLG57H7,B. 14K White Gold,14.25
B0CKLH2FJZ,B0CKLG57H7,C. 10K Rose Gold,5
B0CKLDQDLS,B0CKLG57H7,C. 14K Rose Gold,4.75
B0CKLFR9YG,B0CKLG57H7,A. 10K Yellow Gold,8.75
B0CKL7GVPH,B0CKLG57H7,A. 14K Yellow Gold,12.75
B0CKLCW6KV,B0CKLG57H7,B. 10K White Gold,6.25
B0CKLB52SR,B0CKLG57H7,B. 14K White Gold,10.75
B0CKLDG2WL,B0CKLG57H7,B. 14K White Gold,12.75
B0CKLC5J66,B0CKLG57H7,C. 14K Rose Gold,14
B0CKLCWNK7,B0CKLG57H7,A. 14K Yellow Gold,9.5
B0CKLF53CK,B0CKLG57H7,B. 14K White Gold,5.25
B0CKLC6RBY,B0CKLG57H7,A. 10K Yellow Gold,10.25
B0CKLDG4JD,B0CKLG57H7,B. 14K White Gold,5.5
B0CKLGLF7N,B0CKLG57H7,C. 14K Rose Gold,6.75
B0CKLDG4JF,B0CKLG57H7,C. 14K Rose Gold,15.5
B0CKLGBLCB,B0CKLG57H7,C. 10K Rose Gold,8
B0CKLH2FJ1,B0CKLG57H7,C. 14K Rose Gold,8.75
B0CKLF1V4F,B0CKLG57H7,A. 10K Yellow Gold,9.75
B0CKLCP4KX,B0CKLG57H7,C. 14K Rose Gold,5
B0CKLH3311,B0CKLG57H7,A. 14K Yellow Gold,10.25
B0CKLDFVP4,B0CKLG57H7,A. 14K Yellow Gold,14.75
B0CKLCMKQV,B0CKLG57H7,B. 14K White Gold,13.5
B0CKLCQJ3D,B0CKLG57H7,A. 10K Yellow Gold,10.5
B0CKLF4KWB,B0CKLG57H7,A. 14K Yellow Gold,15.75
B0CKLDFR7K,B0CKLG57H7,B. 14K White Gold,8.75
B0CKLF663M,B0CKLG57H7,A. 10K Yellow Gold,15.25
B0CKLFPWHG,B0CKLG57H7,C. 14K Rose Gold,11.5
B0CKLDQMYJ,B0CKLG57H7,C. 14K Rose Gold,12.25
B0CKLCSZY3,B0CKLG57H7,C. 14K Rose Gold,6
B0CKLH2FHB,B0CKLG57H7,A. 10K Yellow Gold,5.25
B0CKLBW9WM,B0CKLG57H7,A. 14K Yellow Gold,15.25
B0CKLCP1Q2,B0CKLG57H7,B. 10K White Gold,8.5
B0CKLCW2MN,B0CKLG57H7,A. 14K Yellow Gold,13.5
B0CKLD1T4N,B0CKLG57H7,C. 10K Rose Gold,15.25
B0CKLBPNDN,B0CKLG57H7,C. 10K Rose Gold,16
B0CKLCGHHG,B0CKLG57H7,B. 10K White Gold,5.75
B0CKLCB7F3,B0CKLG57H7,B. 10K White Gold,13.5
B0CKLBX8RS,B0CKLG57H7,B. 14K White Gold,12
B0CKLCW2MG,B0CKLG57H7,B. 14K White Gold,13.25
B0CKLGLF6Y,B0CKLG57H7,B. 14K White Gold,14.5
B0CKLFPXZZ,B0CKLG57H7,B. 14K White Gold,6.75
B0CKLDBVGB,B0CKLG57H7,C. 10K Rose Gold,11
B0CKLCNZFQ,B0CKLG57H7,B. 14K White Gold,16
B0CKLDVL7F,B0CKLG57H7,C. 14K Rose Gold,9.5
B0CKLBX8RW,B0CKLG57H7,B. 14K White Gold,11
B0CKLDBRNQ,B0CKLG57H7,B. 10K White Gold,7
B0CKLDG8LT,B0CKLG57H7,B. 14K White Gold,11.5
B0CKLFWZYP,B0CKLG57H7,B. 10K White Gold,8
B0CKLF1BKG,B0CKLG57H7,A. 14K Yellow Gold,7.5
B0CKLDGSQZ,B0CKLG57H7,A. 14K Yellow Gold,14
B0CKLGHY8L,B0CKLG57H7,C. 10K Rose Gold,6.75
B0CKLCF9NL,B0CKLG57H7,C. 10K Rose Gold,6.5
B0CKLBW9XF,B0CKLG57H7,C. 14K Rose Gold,12.75
B0CKLGH2LN,B0CKLG57H7,C. 14K Rose Gold,15.75
B0CKLBKNC8,B0CKLG57H7,C. 10K Rose Gold,11.75
B0CKLB8DZ4,B0CKLG57H7,C. 10K Rose Gold,9
B0CKLDP1CM,B0CKLG57H7,C. 14K Rose Gold,13.75
B0CKLBV193,B0CKLG57H7,C. 14K Rose Gold,8.5
B0CKLCMHV7,B0CKLG57H7,B. 10K White Gold,9.25
B0CKLDN98P,B0CKLG57H7,B. 14K White Gold,12.25
B0CKLDY8FM,B0CKLG57H7,C. 14K Rose Gold,15
B0CKLCLG5S,B0CKLG57H7,B. 14K White Gold,10.5
B0CKLDGM4Z,B0CKLG57H7,C. 14K Rose Gold,7.75
B0CKLFZWKG,B0CKLG57H7,C. 10K Rose Gold,8.25
B0CKLCYCH4,B0CKLG57H7,A. 10K Yellow Gold,4.25
B0CKLDG8KM,B0CKLG57H7,A. 14K Yellow Gold,10.5
